Category,Avg Score,Avg Pos,Avg Neg,SD Score,SD Pos,SD Neg,N Prod
Sports_and_Outdoors,4.152174216,0.076178827,0.020089423,1.103435591,0.002973619,0.000484975,478845
Video_Games,3.765940654,0.059400216,0.025867204,1.041143681,0.001101852,0.000337285,50207
Patio_Lawn_and_Garden,3.916254326,0.064482328,0.021958197,1.376924921,0.00261713,0.000465631,105969
Automotive,4.131483459,0.071613727,0.021389637,1.32716186,0.003595283,0.000548766,320057
Tools_and_Home_Improvement,4.064617686,0.069102579,0.022298972,1.253302773,0.00271871,0.000484234,260624
Home_and_Kitchen,4.069497409,0.076759102,0.021172166,1.217982885,0.002544144,0.000470307,410217
Toys_and_Games,4.136518834,0.071167568,0.019101177,1.124585478,0.002286801,0.000425254,327652
Musical_Instruments,4.231565459,0.069321871,0.019424107,0.966540884,0.001793607,0.000333427,83025
Electronics,3.889745948,0.065875461,0.021581867,1.273820442,0.002270324,0.000391833,475909
Office_Products,3.999097262,0.071019601,0.019873943,1.336998846,0.002560649,0.000427326,129995
Pet_Supplies,4.047878787,0.065584062,0.023278111,1.179900645,0.001944025,0.00044533,103274
Movies_and_TV,4.019793311,0.055945094,0.02539652,0.995083382,0.001122678,0.000374694,200914
Health_and_Personal_Care,4.022917775,0.068390402,0.026295102,1.234281738,0.002389989,0.000602606,252316
CDs_and_Vinyl,4.416002016,0.064575683,0.018440331,0.599506456,0.001062588,0.000264179,486337
Kindle_Store,4.129795729,0.063526028,0.023836834,1.049617364,0.001352626,0.000450756,430518
Apps_for_Android,3.195762775,0.067371129,0.026236597,1.622548415,0.001802347,0.000741393,61274
Books,4.291775264,0.057956078,0.02051459,0.800422185,0.001189832,0.000342945,2329952
Baby,4.062566222,0.07206881,0.019027717,1.044238672,0.00223625,0.000322724,64423
Digital_Music,4.621884284,0.08481997,0.014990037,0.642229109,0.003389625,0.000511641,266391
Amazon_Instant_Video,3.756304254,0.063343161,0.028772877,1.40306615,0.001807575,0.000962335,23962
Grocery_and_Gourmet_Food,4.191763577,0.071380052,0.02017785,1.095475558,0.001967481,0.000416507,166044
Cell_Phones_and_Accessories,3.680707947,0.076902127,0.025249895,1.515035622,0.003160711,0.000635764,319652
Clothing_Shoes_and_Jewelry,4.105935199,0.085373803,0.018150537,1.156779532,0.003393363,0.000487657,1135935
Beauty,4.149258326,0.076440753,0.024463988,1.096706635,0.00251695,0.000545021,249262
